action_gap,cue_probability,n_episodes,seed,tolerance,information_scale,correct_memory_certified,false_short_certification
0.3,0.05,100,2,0.075,0.44999999999999996,False,False
0.3,0.05,100,3,0.075,0.44999999999999996,False,False
0.3,0.05,100,4,0.075,0.44999999999999996,False,False
0.3,0.05,100,5,0.075,0.44999999999999996,False,False
0.3,0.05,100,6,0.075,0.44999999999999996,False,False
0.3,0.05,100,7,0.075,0.44999999999999996,False,False
0.3,0.05,100,8,0.075,0.44999999999999996,False,False
0.3,0.05,100,9,0.075,0.44999999999999996,False,False
0.3,0.05,100,10,0.075,0.44999999999999996,False,False
0.3,0.05,100,11,0.075,0.44999999999999996,False,False
0.3,0.05,100,12,0.075,0.44999999999999996,False,False
0.3,0.05,100,13,0.075,0.44999999999999996,False,False
0.3,0.05,100,14,0.075,0.44999999999999996,False,False
0.3,0.05,100,15,0.075,0.44999999999999996,False,False
0.3,0.05,100,16,0.075,0.44999999999999996,False,False
0.3,0.05,100,17,0.075,0.44999999999999996,False,False
0.3,0.05,100,18,0.075,0.44999999999999996,False,False
0.3,0.05,100,19,0.075,0.44999999999999996,False,False
0.3,0.05,100,20,0.075,0.44999999999999996,False,False
0.3,0.05,100,21,0.075,0.44999999999999996,False,False
0.3,0.05,100,22,0.075,0.44999999999999996,False,False
0.3,0.05,100,23,0.075,0.44999999999999996,False,False
0.3,0.05,100,24,0.075,0.44999999999999996,False,False
0.3,0.05,100,25,0.075,0.44999999999999996,False,False
0.3,0.05,100,26,0.075,0.44999999999999996,False,False
0.3,0.05,100,27,0.075,0.44999999999999996,False,False
0.3,0.05,100,28,0.075,0.44999999999999996,False,False
0.3,0.05,100,29,0.075,0.44999999999999996,False,False
0.3,0.05,200,0,0.075,0.8999999999999999,False,False
0.3,0.05,200,1,0.075,0.8999999999999999,False,False
0.3,0.05,200,2,0.075,0.8999999999999999,False,False
0.3,0.05,200,3,0.075,0.8999999999999999,False,False
0.3,0.05,200,4,0.075,0.8999999999999999,False,False
0.3,0.05,200,5,0.075,0.8999999999999999,False,False
0.3,0.05,200,6,0.075,0.8999999999999999,False,False
0.3,0.05,200,7,0.075,0.8999999999999999,False,False
0.3,0.05,200,8,0.075,0.8999999999999999,False,False
0.3,0.05,200,9,0.075,0.8999999999999999,False,False
0.3,0.05,200,10,0.075,0.8999999999999999,False,False
0.3,0.05,200,11,0.075,0.8999999999999999,False,False
0.3,0.05,200,12,0.075,0.8999999999999999,False,False
0.3,0.05,200,13,0.075,0.8999999999999999,False,False
0.3,0.05,200,14,0.075,0.8999999999999999,False,False
0.3,0.05,200,15,0.075,0.8999999999999999,False,False
0.3,0.05,200,16,0.075,0.8999999999999999,False,False
0.3,0.05,200,17,0.075,0.8999999999999999,False,False
0.3,0.05,200,18,0.075,0.8999999999999999,False,False
0.3,0.05,200,19,0.075,0.8999999999999999,False,False
0.3,0.05,200,20,0.075,0.8999999999999999,False,False
0.3,0.05,200,21,0.075,0.8999999999999999,False,False
0.3,0.05,200,22,0.075,0.8999999999999999,False,False
0.3,0.05,200,23,0.075,0.8999999999999999,False,False
0.3,0.05,200,24,0.075,0.8999999999999999,False,False
0.3,0.05,200,25,0.075,0.8999999999999999,False,False
0.3,0.05,200,26,0.075,0.8999999999999999,False,False
0.3,0.05,200,27,0.075,0.8999999999999999,False,False
0.3,0.05,200,28,0.075,0.8999999999999999,False,False
0.3,0.05,200,29,0.075,0.8999999999999999,False,False
0.3,0.05,500,0,0.075,2.25,False,False
0.3,0.05,500,1,0.075,2.25,False,False
0.3,0.05,500,2,0.075,2.25,False,False
0.3,0.05,500,3,0.075,2.25,False,False
0.3,0.05,500,4,0.075,2.25,False,False
0.3,0.05,500,5,0.075,2.25,False,False
0.3,0.05,500,6,0.075,2.25,False,False
0.3,0.05,500,7,0.075,2.25,False,False
0.3,0.05,500,8,0.075,2.25,False,False
0.3,0.05,500,9,0.075,2.25,False,False
0.3,0.05,500,10,0.075,2.25,False,False
0.3,0.05,500,11,0.075,2.25,False,False
0.3,0.05,500,12,0.075,2.25,False,False
0.3,0.05,500,13,0.075,2.25,False,False
0.3,0.05,500,14,0.075,2.25,False,False
0.3,0.05,500,15,0.075,2.25,False,False
0.3,0.05,500,16,0.075,2.25,False,False
0.3,0.05,500,17,0.075,2.25,False,False
0.3,0.05,500,18,0.075,2.25,False,False
0.3,0.05,500,19,0.075,2.25,False,False
0.3,0.05,500,20,0.075,2.25,False,False
0.3,0.05,500,21,0.075,2.25,False,False
0.3,0.05,500,22,0.075,2.25,False,False
0.3,0.05,500,23,0.075,2.25,False,False
0.3,0.05,500,24,0.075,2.25,False,False
0.3,0.05,500,25,0.075,2.25,False,False
0.3,0.05,500,26,0.075,2.25,False,False
0.3,0.05,500,27,0.075,2.25,False,False
0.3,0.05,500,28,0.075,2.25,False,False
0.3,0.05,500,29,0.075,2.25,False,False
0.3,0.05,1000,0,0.075,4.5,False,False
0.3,0.05,1000,1,0.075,4.5,False,False
0.3,0.05,1000,2,0.075,4.5,False,False
0.3,0.05,1000,3,0.075,4.5,False,False
0.3,0.05,1000,4,0.075,4.5,False,False
0.3,0.05,1000,5,0.075,4.5,False,False
0.3,0.05,1000,6,0.075,4.5,False,False
0.3,0.05,1000,7,0.075,4.5,False,False
0.3,0.05,1000,8,0.075,4.5,False,False
0.3,0.05,1000,9,0.075,4.5,False,False
0.3,0.05,1000,10,0.075,4.5,False,False
0.3,0.05,1000,11,0.075,4.5,False,False
0.3,0.05,1000,12,0.075,4.5,False,False
0.3,0.05,1000,13,0.075,4.5,False,False
0.3,0.05,1000,14,0.075,4.5,False,False
0.3,0.05,1000,15,0.075,4.5,False,False
0.3,0.05,1000,16,0.075,4.5,False,False
0.3,0.05,1000,17,0.075,4.5,False,False
0.3,0.05,1000,18,0.075,4.5,False,False
0.3,0.05,1000,19,0.075,4.5,False,False
0.3,0.05,1000,20,0.075,4.5,False,False
0.3,0.05,1000,21,0.075,4.5,False,False
0.3,0.05,1000,22,0.075,4.5,False,False
0.3,0.05,1000,23,0.075,4.5,False,False
0.3,0.05,1000,24,0.075,4.5,True,False
0.3,0.05,1000,25,0.075,4.5,False,False
0.3,0.05,1000,26,0.075,4.5,False,False
0.3,0.05,1000,27,0.075,4.5,False,False
0.3,0.05,1000,28,0.075,4.5,False,False
0.3,0.05,1000,29,0.075,4.5,False,False
0.3,0.05,2000,0,0.075,9.0,False,False
0.3,0.05,2000,1,0.075,9.0,False,False
0.3,0.05,2000,2,0.075,9.0,False,False
0.3,0.05,2000,3,0.075,9.0,False,False
0.3,0.05,2000,4,0.075,9.0,False,False
0.3,0.05,2000,5,0.075,9.0,False,False
0.3,0.05,2000,6,0.075,9.0,False,False
0.3,0.05,2000,7,0.075,9.0,True,False
0.3,0.05,2000,8,0.075,9.0,False,False
0.3,0.05,2000,9,0.075,9.0,False,False
0.3,0.05,2000,10,0.075,9.0,False,False
0.3,0.05,2000,11,0.075,9.0,False,False
0.3,0.05,2000,12,0.075,9.0,False,False
0.3,0.05,2000,13,0.075,9.0,False,False
0.3,0.05,2000,14,0.075,9.0,False,False
0.3,0.05,2000,15,0.075,9.0,True,False
0.3,0.05,2000,16,0.075,9.0,False,False
0.3,0.05,2000,17,0.075,9.0,False,False
0.3,0.05,2000,18,0.075,9.0,False,False
0.3,0.05,2000,19,0.075,9.0,False,False
0.3,0.05,2000,20,0.075,9.0,False,False
0.3,0.05,2000,21,0.075,9.0,True,False
0.3,0.05,2000,22,0.075,9.0,False,False
0.3,0.05,2000,23,0.075,9.0,False,False
0.3,0.05,2000,24,0.075,9.0,False,False
0.3,0.05,2000,25,0.075,9.0,False,False
0.3,0.05,2000,26,0.075,9.0,False,False
0.3,0.05,2000,27,0.075,9.0,True,False
0.3,0.05,2000,28,0.075,9.0,False,False
0.3,0.05,2000,29,0.075,9.0,False,False
0.3,0.05,5000,0,0.075,22.5,True,False
0.3,0.05,5000,1,0.075,22.5,True,False
0.3,0.05,5000,2,0.075,22.5,False,False
0.3,0.05,5000,3,0.075,22.5,False,False
0.3,0.05,5000,4,0.075,22.5,False,False
0.3,0.05,5000,5,0.075,22.5,True,False
0.3,0.05,5000,6,0.075,22.5,True,False
0.3,0.05,5000,7,0.075,22.5,False,False
0.3,0.05,5000,8,0.075,22.5,False,False
0.3,0.05,5000,9,0.075,22.5,False,False
0.3,0.05,5000,10,0.075,22.5,True,False
0.3,0.05,5000,11,0.075,22.5,True,False
0.3,0.05,5000,12,0.075,22.5,True,False
0.3,0.05,5000,13,0.075,22.5,True,False
0.3,0.05,5000,14,0.075,22.5,True,False
0.3,0.05,5000,15,0.075,22.5,True,False
0.3,0.05,5000,16,0.075,22.5,True,False
0.3,0.05,5000,17,0.075,22.5,False,False
0.3,0.05,5000,18,0.075,22.5,True,False
0.3,0.05,5000,19,0.075,22.5,False,False
0.3,0.05,5000,20,0.075,22.5,True,False
0.3,0.05,5000,21,0.075,22.5,True,False
0.3,0.05,5000,22,0.075,22.5,True,False
0.3,0.05,5000,23,0.075,22.5,True,False
0.3,0.05,5000,24,0.075,22.5,True,False
0.3,0.05,5000,25,0.075,22.5,True,False
0.3,0.05,5000,26,0.075,22.5,False,False
0.3,0.05,5000,27,0.075,22.5,True,False
0.3,0.05,5000,28,0.075,22.5,True,False
0.3,0.05,5000,29,0.075,22.5,True,False
0.3,0.05,10000,0,0.075,45.0,True,False
0.3,0.05,10000,1,0.075,45.0,True,False
0.3,0.05,10000,2,0.075,45.0,True,False
0.3,0.05,10000,3,0.075,45.0,True,False
0.3,0.05,10000,4,0.075,45.0,True,False
0.3,0.05,10000,5,0.075,45.0,True,False
0.3,0.05,10000,6,0.075,45.0,True,False
0.3,0.05,10000,7,0.075,45.0,True,False
0.3,0.05,10000,8,0.075,45.0,True,False
0.3,0.05,10000,9,0.075,45.0,True,False
0.3,0.05,10000,10,0.075,45.0,True,False
0.3,0.05,10000,11,0.075,45.0,True,False
0.3,0.05,10000,12,0.075,45.0,True,False
0.3,0.05,10000,13,0.075,45.0,True,False
0.3,0.05,10000,14,0.075,45.0,True,False
0.3,0.05,10000,15,0.075,45.0,True,False
0.3,0.05,10000,16,0.075,45.0,True,False
0.3,0.05,10000,17,0.075,45.0,True,False
0.3,0.05,10000,18,0.075,45.0,True,False
0.3,0.05,10000,19,0.075,45.0,True,False
0.3,0.05,10000,20,0.075,45.0,True,False
0.3,0.05,10000,21,0.075,45.0,True,False
0.3,0.05,10000,22,0.075,45.0,True,False
0.3,0.05,10000,23,0.075,45.0,True,False
0.3,0.05,10000,24,0.075,45.0,True,False
0.3,0.05,10000,25,0.075,45.0,True,False
0.3,0.05,10000,26,0.075,45.0,True,False
0.3,0.05,10000,27,0.075,45.0,True,False
0.3,0.05,10000,28,0.075,45.0,True,False
0.3,0.05,10000,29,0.075,45.0,True,False
0.3,0.05,20000,0,0.075,90.0,True,False
0.3,0.05,20000,1,0.075,90.0,True,False
0.3,0.05,20000,2,0.075,90.0,True,False
0.3,0.05,20000,3,0.075,90.0,True,False
0.3,0.05,20000,4,0.075,90.0,True,False
0.3,0.05,20000,5,0.075,90.0,True,False
0.3,0.05,20000,6,0.075,90.0,True,False
0.3,0.05,20000,7,0.075,90.0,True,False
0.3,0.05,20000,8,0.075,90.0,True,False
0.3,0.05,20000,9,0.075,90.0,True,False
0.3,0.05,20000,10,0.075,90.0,True,False
0.3,0.05,20000,11,0.075,90.0,True,False
0.3,0.05,20000,12,0.075,90.0,True,False
0.3,0.05,20000,13,0.075,90.0,True,False
0.3,0.05,20000,14,0.075,90.0,True,False
0.3,0.05,20000,15,0.075,90.0,True,False
0.3,0.05,20000,16,0.075,90.0,True,False
0.3,0.05,20000,17,0.075,90.0,True,False
0.3,0.05,20000,18,0.075,90.0,True,False
0.3,0.05,20000,19,0.075,90.0,True,False
0.3,0.05,20000,20,0.075,90.0,True,False
0.3,0.05,20000,21,0.075,90.0,True,False
0.3,0.05,20000,22,0.075,90.0,True,False
0.3,0.05,20000,23,0.075,90.0,True,False
0.3,0.05,20000,24,0.075,90.0,True,False
0.3,0.05,20000,25,0.075,90.0,True,False
0.3,0.05,20000,26,0.075,90.0,True,False
0.3,0.05,20000,27,0.075,90.0,True,False
0.3,0.05,20000,28,0.075,90.0,True,False
0.3,0.05,20000,29,0.075,90.0,True,False
0.3,0.1,100,0,0.075,0.8999999999999999,False,False
0.3,0.1,100,1,0.075,0.8999999999999999,False,False
0.3,0.1,100,2,0.075,0.8999999999999999,False,False
0.3,0.1,100,3,0.075,0.8999999999999999,False,False
0.3,0.1,100,4,0.075,0.8999999999999999,False,False
0.3,0.1,100,5,0.075,0.8999999999999999,False,False
0.3,0.1,100,6,0.075,0.8999999999999999,False,False
0.3,0.1,100,7,0.075,0.8999999999999999,False,False
0.3,0.1,100,8,0.075,0.8999999999999999,False,False
0.3,0.1,100,9,0.075,0.8999999999999999,False,False
0.3,0.1,100,10,0.075,0.8999999999999999,False,False
0.3,0.1,100,11,0.075,0.8999999999999999,False,False
0.3,0.1,100,12,0.075,0.8999999999999999,False,False
0.3,0.1,100,13,0.075,0.8999999999999999,False,False
0.3,0.1,100,14,0.075,0.8999999999999999,False,False
0.3,0.1,100,15,0.075,0.8999999999999999,False,False
0.3,0.1,100,16,0.075,0.8999999999999999,False,False
0.3,0.1,100,17,0.075,0.8999999999999999,False,False
0.3,0.1,100,18,0.075,0.8999999999999999,False,False
0.3,0.1,100,19,0.075,0.8999999999999999,False,False
0.3,0.1,100,20,0.075,0.8999999999999999,False,False
0.3,0.1,100,21,0.075,0.8999999999999999,False,False
0.3,0.1,100,22,0.075,0.8999999999999999,False,False
0.3,0.1,100,23,0.075,0.8999999999999999,False,False
0.3,0.1,100,24,0.075,0.8999999999999999,False,False
0.3,0.1,100,25,0.075,0.8999999999999999,False,False
0.3,0.1,100,26,0.075,0.8999999999999999,False,False
0.3,0.1,100,27,0.075,0.8999999999999999,False,False
0.3,0.1,100,28,0.075,0.8999999999999999,False,False
0.3,0.1,100,29,0.075,0.8999999999999999,False,False
0.3,0.1,200,0,0.075,1.7999999999999998,False,False
0.3,0.1,200,1,0.075,1.7999999999999998,False,False
0.3,0.1,200,2,0.075,1.7999999999999998,False,False
0.3,0.1,200,3,0.075,1.7999999999999998,False,False
0.3,0.1,200,4,0.075,1.7999999999999998,False,False
0.3,0.1,200,5,0.075,1.7999999999999998,False,False
0.3,0.1,200,6,0.075,1.7999999999999998,False,False
0.3,0.1,200,7,0.075,1.7999999999999998,False,False
0.3,0.1,200,8,0.075,1.7999999999999998,False,False
0.3,0.1,200,9,0.075,1.7999999999999998,False,False
0.3,0.1,200,10,0.075,1.7999999999999998,False,False
0.3,0.1,200,11,0.075,1.7999999999999998,False,False
0.3,0.1,200,12,0.075,1.7999999999999998,False,False
0.3,0.1,200,13,0.075,1.7999999999999998,False,False
0.3,0.1,200,14,0.075,1.7999999999999998,False,False
0.3,0.1,200,15,0.075,1.7999999999999998,False,False
0.3,0.1,200,16,0.075,1.7999999999999998,False,False
0.3,0.1,200,17,0.075,1.7999999999999998,False,False
0.3,0.1,200,18,0.075,1.7999999999999998,False,False
0.3,0.1,200,19,0.075,1.7999999999999998,False,False
0.3,0.1,200,20,0.075,1.7999999999999998,False,False
0.3,0.1,200,21,0.075,1.7999999999999998,False,False
0.3,0.1,200,22,0.075,1.7999999999999998,False,False
0.3,0.1,200,23,0.075,1.7999999999999998,False,False
0.3,0.1,200,24,0.075,1.7999999999999998,False,False
0.3,0.1,200,25,0.075,1.7999999999999998,False,False
0.3,0.1,200,26,0.075,1.7999999999999998,False,False
0.3,0.1,200,27,0.075,1.7999999999999998,False,False
0.3,0.1,200,28,0.075,1.7999999999999998,False,False
0.3,0.1,200,29,0.075,1.7999999999999998,False,False
0.3,0.1,500,0,0.075,4.5,False,False
0.3,0.1,500,1,0.075,4.5,False,False
0.3,0.1,500,2,0.075,4.5,False,False
0.3,0.1,500,3,0.075,4.5,False,False
0.3,0.1,500,4,0.075,4.5,False,False
0.3,0.1,500,5,0.075,4.5,False,False
0.3,0.1,500,6,0.075,4.5,False,False
0.3,0.1,500,7,0.075,4.5,False,False
0.3,0.1,500,8,0.075,4.5,False,False
0.3,0.1,500,9,0.075,4.5,False,False
0.3,0.1,500,10,0.075,4.5,False,False
0.3,0.1,500,11,0.075,4.5,False,False
0.3,0.1,500,12,0.075,4.5,False,False
0.3,0.1,500,13,0.075,4.5,False,False
0.3,0.1,500,14,0.075,4.5,False,False
0.3,0.1,500,15,0.075,4.5,False,False
0.3,0.1,500,16,0.075,4.5,False,False
0.3,0.1,500,17,0.075,4.5,False,False
0.3,0.1,500,18,0.075,4.5,False,False
0.3,0.1,500,19,0.075,4.5,False,False
0.3,0.1,500,20,0.075,4.5,False,False
0.3,0.1,500,21,0.075,4.5,False,False
0.3,0.1,500,22,0.075,4.5,False,False
0.3,0.1,500,23,0.075,4.5,False,False
0.3,0.1,500,24,0.075,4.5,False,False
0.3,0.1,500,25,0.075,4.5,False,False
0.3,0.1,500,26,0.075,4.5,False,False
0.3,0.1,500,27,0.075,4.5,False,False
0.3,0.1,500,28,0.075,4.5,False,False
0.3,0.1,500,29,0.075,4.5,False,False
0.3,0.1,1000,0,0.075,9.0,True,False
0.3,0.1,1000,1,0.075,9.0,False,False
0.3,0.1,1000,2,0.075,9.0,False,False
0.3,0.1,1000,3,0.075,9.0,False,False
0.3,0.1,1000,4,0.075,9.0,False,False
0.3,0.1,1000,5,0.075,9.0,False,False
0.3,0.1,1000,6,0.075,9.0,False,False
0.3,0.1,1000,7,0.075,9.0,False,False
0.3,0.1,1000,8,0.075,9.0,True,False
0.3,0.1,1000,9,0.075,9.0,False,False
0.3,0.1,1000,10,0.075,9.0,False,False
0.3,0.1,1000,11,0.075,9.0,False,False
0.3,0.1,1000,12,0.075,9.0,False,False
0.3,0.1,1000,13,0.075,9.0,False,False
0.3,0.1,1000,14,0.075,9.0,False,False
0.3,0.1,1000,15,0.075,9.0,False,False
0.3,0.1,1000,16,0.075,9.0,False,False
0.3,0.1,1000,17,0.075,9.0,False,False
0.3,0.1,1000,18,0.075,9.0,False,False
0.3,0.1,1000,19,0.075,9.0,False,False
0.3,0.1,1000,20,0.075,9.0,True,False
0.3,0.1,1000,21,0.075,9.0,False,False
0.3,0.1,1000,22,0.075,9.0,False,False
0.3,0.1,1000,23,0.075,9.0,False,False
0.3,0.1,1000,24,0.075,9.0,False,False
0.3,0.1,1000,25,0.075,9.0,False,False
0.3,0.1,1000,26,0.075,9.0,False,False
0.3,0.1,1000,27,0.075,9.0,False,False
0.3,0.1,1000,28,0.075,9.0,True,False
0.3,0.1,1000,29,0.075,9.0,False,False
0.3,0.1,2000,0,0.075,18.0,True,False
0.3,0.1,2000,1,0.075,18.0,True,False
0.3,0.1,2000,2,0.075,18.0,False,False
0.3,0.1,2000,3,0.075,18.0,False,False
0.3,0.1,2000,4,0.075,18.0,True,False
0.3,0.1,2000,5,0.075,18.0,True,False
0.3,0.1,2000,6,0.075,18.0,False,False
0.3,0.1,2000,7,0.075,18.0,True,False
0.3,0.1,2000,8,0.075,18.0,True,False
0.3,0.1,2000,9,0.075,18.0,True,False
0.3,0.1,2000,10,0.075,18.0,False,False
0.3,0.1,2000,11,0.075,18.0,False,False
0.3,0.1,2000,12,0.075,18.0,True,False
0.3,0.1,2000,13,0.075,18.0,False,False
0.3,0.1,2000,14,0.075,18.0,True,False
0.3,0.1,2000,15,0.075,18.0,True,False
0.3,0.1,2000,16,0.075,18.0,True,False
0.3,0.1,2000,17,0.075,18.0,True,False
0.3,0.1,2000,18,0.075,18.0,True,False
0.3,0.1,2000,19,0.075,18.0,False,False
0.3,0.1,2000,20,0.075,18.0,True,False
0.3,0.1,2000,21,0.075,18.0,True,False
0.3,0.1,2000,22,0.075,18.0,True,False
0.3,0.1,2000,23,0.075,18.0,True,False
0.3,0.1,2000,24,0.075,18.0,False,False
0.3,0.1,2000,25,0.075,18.0,True,False
0.3,0.1,2000,26,0.075,18.0,True,False
0.3,0.1,2000,27,0.075,18.0,False,False
0.3,0.1,2000,28,0.075,18.0,True,False
0.3,0.1,2000,29,0.075,18.0,True,False
0.3,0.1,5000,0,0.075,45.0,True,False
0.3,0.1,5000,1,0.075,45.0,True,False
0.3,0.1,5000,2,0.075,45.0,True,False
0.3,0.1,5000,3,0.075,45.0,True,False
0.3,0.1,5000,4,0.075,45.0,True,False
0.3,0.1,5000,5,0.075,45.0,True,False
0.3,0.1,5000,6,0.075,45.0,True,False
0.3,0.1,5000,7,0.075,45.0,True,False
0.3,0.1,5000,8,0.075,45.0,True,False
0.3,0.1,5000,9,0.075,45.0,True,False
0.3,0.1,5000,10,0.075,45.0,True,False
0.3,0.1,5000,11,0.075,45.0,True,False
0.3,0.1,5000,12,0.075,45.0,True,False
0.3,0.1,5000,13,0.075,45.0,True,False
0.3,0.1,5000,14,0.075,45.0,True,False
0.3,0.1,5000,15,0.075,45.0,True,False
0.3,0.1,5000,16,0.075,45.0,True,False
0.3,0.1,5000,17,0.075,45.0,True,False
0.3,0.1,5000,18,0.075,45.0,True,False
0.3,0.1,5000,19,0.075,45.0,True,False
0.3,0.1,5000,20,0.075,45.0,True,False
0.3,0.1,5000,21,0.075,45.0,True,False
0.3,0.1,5000,22,0.075,45.0,True,False
0.3,0.1,5000,23,0.075,45.0,True,False
0.3,0.1,5000,24,0.075,45.0,True,False
0.3,0.1,5000,25,0.075,45.0,True,False
0.3,0.1,5000,26,0.075,45.0,True,False
0.3,0.1,5000,27,0.075,45.0,True,False
0.3,0.1,5000,28,0.075,45.0,True,False
0.3,0.1,5000,29,0.075,45.0,True,False
0.3,0.1,10000,0,0.075,90.0,True,False
0.3,0.1,10000,1,0.075,90.0,True,False
0.3,0.1,10000,2,0.075,90.0,True,False
0.3,0.1,10000,3,0.075,90.0,True,False
0.3,0.1,10000,4,0.075,90.0,True,False
0.3,0.1,10000,5,0.075,90.0,True,False
0.3,0.1,10000,6,0.075,90.0,True,False
0.3,0.1,10000,7,0.075,90.0,True,False
0.3,0.1,10000,8,0.075,90.0,True,False
0.3,0.1,10000,9,0.075,90.0,True,False
0.3,0.1,10000,10,0.075,90.0,True,False
0.3,0.1,10000,11,0.075,90.0,True,False
0.3,0.1,10000,12,0.075,90.0,True,False
0.3,0.1,10000,13,0.075,90.0,True,False
0.3,0.1,10000,14,0.075,90.0,True,False
0.3,0.1,10000,15,0.075,90.0,True,False
0.3,0.1,10000,16,0.075,90.0,True,False
0.3,0.1,10000,17,0.075,90.0,True,False
0.3,0.1,10000,18,0.075,90.0,True,False
0.3,0.1,10000,19,0.075,90.0,True,False
0.3,0.1,10000,20,0.075,90.0,True,False
0.3,0.1,10000,21,0.075,90.0,True,False
0.3,0.1,10000,22,0.075,90.0,True,False
0.3,0.1,10000,23,0.075,90.0,True,False
0.3,0.1,10000,24,0.075,90.0,True,False
0.3,0.1,10000,25,0.075,90.0,True,False
0.3,0.1,10000,26,0.075,90.0,True,False
0.3,0.1,10000,27,0.075,90.0,True,False
0.3,0.1,10000,28,0.075,90.0,True,False
0.3,0.1,10000,29,0.075,90.0,True,False
0.3,0.1,20000,0,0.075,180.0,True,False
0.3,0.1,20000,1,0.075,180.0,True,False
0.3,0.1,20000,2,0.075,180.0,True,False
0.3,0.1,20000,3,0.075,180.0,True,False
0.3,0.1,20000,4,0.075,180.0,True,False
0.3,0.1,20000,5,0.075,180.0,True,False
0.3,0.1,20000,6,0.075,180.0,True,False
0.3,0.1,20000,7,0.075,180.0,True,False
0.3,0.1,20000,8,0.075,180.0,True,False
0.3,0.1,20000,9,0.075,180.0,True,False
0.3,0.1,20000,10,0.075,180.0,True,False
0.3,0.1,20000,11,0.075,180.0,True,False
0.3,0.1,20000,12,0.075,180.0,True,False
0.3,0.1,20000,13,0.075,180.0,True,False
0.3,0.1,20000,14,0.075,180.0,True,False
0.3,0.1,20000,15,0.075,180.0,True,False
0.3,0.1,20000,16,0.075,180.0,True,False
0.3,0.1,20000,17,0.075,180.0,True,False
0.3,0.1,20000,18,0.075,180.0,True,False
0.3,0.1,20000,19,0.075,180.0,True,False
0.3,0.1,20000,20,0.075,180.0,True,False
0.3,0.1,20000,21,0.075,180.0,True,False
0.3,0.1,20000,22,0.075,180.0,True,False
0.3,0.1,20000,23,0.075,180.0,True,False
0.3,0.1,20000,24,0.075,180.0,True,False
0.3,0.1,20000,25,0.075,180.0,True,False
0.3,0.1,20000,26,0.075,180.0,True,False
0.3,0.1,20000,27,0.075,180.0,True,False
0.3,0.1,20000,28,0.075,180.0,True,False
0.3,0.1,20000,29,0.075,180.0,True,False
0.3,0.2,100,0,0.075,1.7999999999999998,False,False
0.3,0.2,100,1,0.075,1.7999999999999998,False,False
0.3,0.2,100,2,0.075,1.7999999999999998,False,False
0.3,0.2,100,3,0.075,1.7999999999999998,False,False
0.3,0.2,100,4,0.075,1.7999999999999998,False,False
0.3,0.2,100,5,0.075,1.7999999999999998,False,False
0.3,0.2,100,6,0.075,1.7999999999999998,False,False
0.3,0.2,100,7,0.075,1.7999999999999998,False,False
0.3,0.2,100,8,0.075,1.7999999999999998,False,False
0.3,0.2,100,9,0.075,1.7999999999999998,False,False
0.3,0.2,100,10,0.075,1.7999999999999998,False,False
0.3,0.2,100,11,0.075,1.7999999999999998,False,False
0.3,0.2,100,12,0.075,1.7999999999999998,False,False
0.3,0.2,100,13,0.075,1.7999999999999998,False,False
0.3,0.2,100,14,0.075,1.7999999999999998,False,False
0.3,0.2,100,15,0.075,1.7999999999999998,False,False
0.3,0.2,100,16,0.075,1.7999999999999998,False,False
0.3,0.2,100,17,0.075,1.7999999999999998,False,False
0.3,0.2,100,18,0.075,1.7999999999999998,False,False
0.3,0.2,100,19,0.075,1.7999999999999998,False,False
0.3,0.2,100,20,0.075,1.7999999999999998,False,False
0.3,0.2,100,21,0.075,1.7999999999999998,False,False
0.3,0.2,100,22,0.075,1.7999999999999998,False,False
0.3,0.2,100,23,0.075,1.7999999999999998,False,False
0.3,0.2,100,24,0.075,1.7999999999999998,False,False
0.3,0.2,100,25,0.075,1.7999999999999998,False,False
0.3,0.2,100,26,0.075,1.7999999999999998,False,False
0.3,0.2,100,27,0.075,1.7999999999999998,False,False
0.3,0.2,100,28,0.075,1.7999999999999998,False,False
0.3,0.2,100,29,0.075,1.7999999999999998,False,False
0.3,0.2,200,0,0.075,3.5999999999999996,False,False
0.3,0.2,200,1,0.075,3.5999999999999996,False,False
0.3,0.2,200,2,0.075,3.5999999999999996,False,False
0.3,0.2,200,3,0.075,3.5999999999999996,False,False
0.3,0.2,200,4,0.075,3.5999999999999996,False,False
0.3,0.2,200,5,0.075,3.5999999999999996,False,False
0.3,0.2,200,6,0.075,3.5999999999999996,False,False
0.3,0.2,200,7,0.075,3.5999999999999996,False,False
0.3,0.2,200,8,0.075,3.5999999999999996,False,False
0.3,0.2,200,9,0.075,3.5999999999999996,False,False
0.3,0.2,200,10,0.075,3.5999999999999996,False,False
0.3,0.2,200,11,0.075,3.5999999999999996,False,False
0.3,0.2,200,12,0.075,3.5999999999999996,False,False
0.3,0.2,200,13,0.075,3.5999999999999996,False,False
0.3,0.2,200,14,0.075,3.5999999999999996,False,False
0.3,0.2,200,15,0.075,3.5999999999999996,False,False
0.3,0.2,200,16,0.075,3.5999999999999996,False,False
0.3,0.2,200,17,0.075,3.5999999999999996,False,False
0.3,0.2,200,18,0.075,3.5999999999999996,False,False
0.3,0.2,200,19,0.075,3.5999999999999996,False,False
0.3,0.2,200,20,0.075,3.5999999999999996,False,False
0.3,0.2,200,21,0.075,3.5999999999999996,False,False
0.3,0.2,200,22,0.075,3.5999999999999996,False,False
0.3,0.2,200,23,0.075,3.5999999999999996,False,False
